Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Adversarial/alt_6_pairs,std::regex,2,167.98,5.42,156.83,181.82,166.94,166.58,169.38,2000
Adversarial/alt_8_words,CTRE-SIMD,5,4.06,0.36,3.72,5.36,3.98,3.97,4.16,10000
Adversarial/alt_8_words,Hyperscan,5,34.38,0.84,33.34,36.39,34.09,34.17,34.60,10000
Adversarial/alt_8_words,PCRE2,5,25.77,0.98,21.99,28.09,25.67,25.52,26.02,10000
Adversarial/alt_8_words,RE2,5,55.39,1.03,53.77,59.97,55.33,55.12,55.66,10000
Adversarial/alt_8_words,std::regex,5,229.60,5.36,221.13,242.39,229.32,228.21,230.98,2000
Adversarial/alt_empty,CTRE-SIMD,0,0.95,0.21,0.81,1.62,0.88,0.90,1.01,10000
Adversarial/alt_empty,Hyperscan,0,25.01,1.44,24.01,31.48,24.43,24.64,25.39,10000
Adversarial/alt_empty,PCRE2,0,19.70,0.90,18.72,22.25,19.23,19.47,19.94,10000
Adversarial/alt_empty,RE2,0,29.04,0.79,28.20,30.87,28.61,28.83,29.24,10000
Adversarial/alt_empty,std::regex,0,73.90,3.66,70.08,83.69,72.25,72.96,74.85,2000
Adversarial/alt_seq_4,CTRE-SIMD,4,6.12,0.80,4.98,7.96,5.96,5.91,6.33,10000
Adversarial/alt_seq_4,Hyperscan,4,31.62,0.68,30.83,33.27,31.46,31.44,31.79,10000
Adversarial/alt_seq_4,PCRE2,4,34.41,1.04,33.10,37.34,34.35,34.14,34.68,10000
Adversarial/alt_seq_4,RE2,4,38.33,0.74,37.40,40.84,38.34,38.14,38.52,10000
Adversarial/alt_seq_4,std::regex,4,166.89,5.79,153.26,179.48,167.19,165.39,168.39,2000
Adversarial/alt_types_10,CTRE-SIMD,10,4.64,0.36,4.37,6.03,4.51,4.54,4.73,10000
Adversarial/alt_types_10,Hyperscan,10,4.25,0.31,4.06,5.67,4.14,4.17,4.33,0
Adversarial/alt_types_10,PCRE2,10,15.80,0.57,15.36,17.88,15.46,15.65,15.95,0
Adversarial/alt_types_10,RE2,10,28.93,0.65,28.19,30.63,28.57,28.76,29.09,0
Adversarial/alt_types_10,std::regex,10,58.91,2.61,56.65,66.24,58.10,58.24,59.59,0
Adversarial/alt_varied,CTRE-SIMD,2,3.71,0.78,2.75,6.31,3.50,3.50,3.91,10000
Adversarial/alt_varied,Hyperscan,2,4.23,0.23,4.07,5.82,4.18,4.17,4.29,0
Adversarial/alt_varied,PCRE2,2,16.00,0.99,15.36,21.26,15.70,15.74,16.25,0
Adversarial/alt_varied,RE2,2,26.64,0.71,25.78,28.10,26.31,26.46,26.83,0
Adversarial/alt_varied,std::regex,2,58.18,2.09,56.67,65.71,57.57,57.64,58.71,0
Adversarial/alt_words,CTRE-SIMD,3,3.15,0.47,2.56,4.51,3.02,3.03,3.27,10000
Adversarial/alt_words,Hyperscan,3,32.37,0.76,31.29,36.01,32.31,32.17,32.57,10000
Adversarial/alt_words,PCRE2,3,25.37,0.91,23.81,28.42,25.23,25.13,25.60,10000
Adversarial/alt_words,RE2,3,36.70,0.39,35.86,38.35,36.73,36.60,36.80,10000
