Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Adversarial/alt_5_words,PCRE2,5,15.80,0.62,15.38,18.18,15.52,15.64,15.96,0
Adversarial/alt_5_words,RE2,5,26.75,0.80,25.80,28.71,26.46,26.54,26.95,0
Adversarial/alt_5_words,std::regex,5,58.11,2.04,55.67,64.47,57.76,57.58,58.64,0
Adversarial/alt_6_pairs,CTRE-Scalar,2,3.13,0.48,2.67,5.57,3.05,3.00,3.25,10000
Adversarial/alt_6_pairs,Hyperscan,2,29.06,1.27,27.85,33.94,28.42,28.74,29.39,10000
Adversarial/alt_6_pairs,PCRE2,2,25.00,1.73,23.76,36.42,24.33,24.55,25.45,10000
Adversarial/alt_6_pairs,RE2,2,32.02,1.75,30.64,43.83,31.62,31.57,32.47,10000
Adversarial/alt_6_pairs,std::regex,2,167.17,5.04,154.25,178.22,166.68,165.86,168.47,2000
Adversarial/alt_8_words,CTRE-Scalar,5,3.77,0.35,3.47,5.32,3.61,3.68,3.87,10000
Adversarial/alt_8_words,Hyperscan,5,35.08,1.88,33.35,40.57,34.42,34.59,35.56,10000
Adversarial/alt_8_words,PCRE2,5,25.68,1.27,23.31,32.83,25.49,25.35,26.01,10000
Adversarial/alt_8_words,RE2,5,55.36,1.67,53.78,63.90,55.23,54.93,55.80,10000
Adversarial/alt_8_words,std::regex,5,230.27,6.02,221.12,242.70,229.20,228.71,231.82,2000
Adversarial/alt_empty,CTRE-Scalar,0,1.00,0.17,0.90,1.55,0.94,0.95,1.04,10000
Adversarial/alt_empty,Hyperscan,0,26.59,4.34,23.99,37.73,24.63,25.47,27.71,10000
Adversarial/alt_empty,PCRE2,0,19.32,0.51,18.86,20.90,19.12,19.19,19.45,10000
Adversarial/alt_empty,RE2,0,28.90,0.79,28.18,30.71,28.53,28.70,29.11,10000
Adversarial/alt_empty,std::regex,0,73.03,3.67,69.53,85.11,71.25,72.08,73.98,2000
Adversarial/alt_seq_4,CTRE-Scalar,4,6.20,0.76,5.06,8.30,6.04,6.01,6.40,10000
Adversarial/alt_seq_4,Hyperscan,4,32.09,1.15,30.85,35.07,31.56,31.80,32.39,10000
Adversarial/alt_seq_4,PCRE2,4,34.35,1.01,33.10,36.66,33.94,34.09,34.61,10000
Adversarial/alt_seq_4,RE2,4,38.47,0.86,37.26,40.24,38.37,38.24,38.69,10000
Adversarial/alt_seq_4,std::regex,4,167.81,6.17,156.07,183.62,165.75,166.21,169.40,2000
Adversarial/alt_types_10,CTRE-Scalar,10,4.65,0.32,4.41,6.17,4.56,4.57,4.73,10000
Adversarial/alt_types_10,Hyperscan,10,4.42,0.58,4.07,6.65,4.14,4.27,4.57,0
Adversarial/alt_types_10,PCRE2,10,15.73,0.64,15.39,19.57,15.50,15.56,15.89,0
Adversarial/alt_types_10,RE2,10,29.19,0.67,28.33,30.74,28.98,29.02,29.37,0
Adversarial/alt_types_10,std::regex,10,59.75,3.45,56.60,75.70,58.61,58.86,60.64,0
Adversarial/alt_varied,CTRE-Scalar,2,4.00,0.58,3.03,6.44,3.92,3.85,4.15,10000
Adversarial/alt_varied,Hyperscan,2,4.41,0.49,4.07,5.75,4.19,4.29,4.54,0
Adversarial/alt_varied,PCRE2,2,15.71,0.51,15.39,17.67,15.47,15.58,15.84,0
Adversarial/alt_varied,RE2,2,26.71,0.80,25.92,29.17,26.37,26.51,26.92,0
Adversarial/alt_varied,std::regex,2,59.72,3.27,56.76,70.38,58.81,58.88,60.57,0
Adversarial/alt_words,CTRE-Scalar,3,2.98,0.32,2.56,3.71,2.94,2.89,3.06,10000
Adversarial/alt_words,Hyperscan,3,32.12,0.42,31.54,33.82,32.13,32.01,32.23,10000
Adversarial/alt_words,PCRE2,3,25.29,0.82,23.86,28.40,25.21,25.08,25.50,10000
Adversarial/alt_words,RE2,3,36.62,0.39,36.23,38.46,36.54,36.52,36.72,10000
Adversarial/alt_words,std::regex,3,165.36,4.55,147.10,172.43,165.85,164.19,166.54,2000
Adversarial/any_2,CTRE-Scalar,2,0.76,0.31,0.68,2.17,0.69,0.68,0.84,10000
Adversarial/any_2,Hyperscan,2,28.73,0.74,27.97,30.07,28.32,28.54,28.92,10000
Adversarial/any_2,PCRE2,2,17.56,0.55,17.23,19.45,17.30,17.41,17.70,10000
Adversarial/any_2,RE2,2,32.29,0.87,30.91,35.31,31.89,32.06,32.51,10000
Adversarial/any_2,std::regex,2,73.43,3.14,69.92,82.37,72.42,72.61,74.24,2000
Adversarial/any_char,CTRE-Scalar,1,0.57,0.06,0.56,1.02,0.56,0.55,0.59,10000
Adversarial/any_char,Hyperscan,1,27.42,0.73,26.62,28.92,27.06,27.23,27.60,10000
Adversarial/any_char,PCRE2,1,18.00,0.60,17.51,19.67,17.67,17.84,18.15,10000
Adversarial/any_char,RE2,1,28.81,1.06,27.56,33.22,28.71,28.54,29.09,10000
Adversarial/any_char,std::regex,1,69.69,3.28,65.34,76.77,68.47,68.85,70.54,2000
Adversarial/bound_1_2,CTRE-Scalar,2,1.22,0.25,1.07,2.61,1.12,1.15,1.28,10000
Adversarial/bound_1_2,Hyperscan,2,30.61,0.69,29.99,32.04,30.27,30.43,30.79,10000
Adversarial/bound_1_2,PCRE2,2,19.92,0.69,19.27,22.04,19.62,19.74,20.10,10000
Adversarial/bound_1_2,RE2,2,31.95,0.98,31.06,35.10,31.50,31.70,32.20,10000
Adversarial/bound_1_2,std::regex,2,80.96,2.95,77.77,91.16,79.92,80.20,81.72,2000
Adversarial/bounded_1,CTRE-Scalar,1,0.75,0.24,0.71,2.54,0.72,0.69,0.82,10000
Adversarial/bounded_1,Hyperscan,1,28.04,1.39,26.64,31.55,27.45,27.68,28.40,10000
Adversarial/bounded_1,PCRE2,1,19.67,3.77,17.46,31.28,17.80,18.70,20.65,10000
Adversarial/bounded_1,RE2,1,28.87,0.90,27.55,31.07,28.88,28.64,29.10,10000
Adversarial/bounded_1,std::regex,1,69.86,3.41,66.00,80.26,69.08,68.98,70.74,2000
Adversarial/bounded_seq_6,CTRE-Scalar,6,2.23,0.13,2.19,3.16,2.21,2.20,2.26,10000
Adversarial/bounded_seq_6,Hyperscan,6,35.69,1.74,34.17,41.80,35.16,35.24,36.14,10000
Adversarial/bounded_seq_6,PCRE2,6,18.65,1.28,17.99,25.97,18.06,18.32,18.99,10000
Adversarial/bounded_seq_6,RE2,6,44.27,0.94,42.79,46.61,44.23,44.03,44.51,10000
Adversarial/bounded_seq_6,std::regex,6,101.48,5.83,94.20,120.79,101.95,99.98,102.99,2000
Adversarial/bounded_short,CTRE-Scalar,3,1.86,0.20,1.67,2.47,1.76,1.81,1.91,10000
Adversarial/bounded_short,Hyperscan,3,32.86,0.77,31.98,35.10,32.69,32.66,33.06,10000
Adversarial/bounded_short,PCRE2,3,21.71,0.63,21.14,23.89,21.39,21.55,21.87,10000
