Pattern,Engine,Input_Size,Time_ns,Matches
Simple/uppercase,std::regex,128,2456.43,2000
Simple/uppercase,CTRE,256,137.3,10000
Simple/uppercase,RE2,256,427.36,10000
Simple/uppercase,PCRE2,256,87.13,10000
Simple/uppercase,Hyperscan,256,175.71,10000
Simple/uppercase,std::regex,256,3795.42,2000
Simple/uppercase,CTRE,512,278.84,10000
Simple/uppercase,RE2,512,769.03,10000
Simple/uppercase,PCRE2,512,161.41,10000
Simple/uppercase,Hyperscan,512,310.98,10000
Simple/uppercase,std::regex,512,8198.19,2000
Simple/uppercase,CTRE,1024,558.57,10000
Simple/uppercase,RE2,1024,1510.59,10000
Simple/uppercase,PCRE2,1024,301.32,10000
Simple/uppercase,Hyperscan,1024,588.3,10000
Simple/uppercase,std::regex,1024,16764.35,2000
Simple/uppercase,CTRE,2048,1121.78,10000
Simple/uppercase,RE2,2048,2923.59,10000
Simple/uppercase,PCRE2,2048,576.52,10000
Simple/uppercase,Hyperscan,2048,1135.13,10000
Simple/uppercase,std::regex,2048,37845.2,2000
Simple/uppercase,CTRE,4096,2248.17,10000
Simple/uppercase,RE2,4096,5850.58,10000
Simple/uppercase,PCRE2,4096,1127.06,10000
Simple/uppercase,Hyperscan,4096,2232.08,10000
Simple/uppercase,std::regex,4096,105243.63,2000
Simple/uppercase,CTRE,8192,4506.73,10000
Simple/uppercase,RE2,8192,11656.46,10000
Simple/uppercase,PCRE2,8192,2226.04,10000
Simple/uppercase,Hyperscan,8192,4419.85,10000
Simple/uppercase,std::regex,8192,215752.1,2000
Simple/uppercase,CTRE,16384,8981.39,10000
Simple/uppercase,RE2,16384,23275.67,10000
Simple/uppercase,PCRE2,16384,4427.24,10000
Simple/uppercase,Hyperscan,16384,8799.3,10000
Simple/uppercase,CTRE,32768,17949.69,10000
Simple/uppercase,RE2,32768,46500.11,10000
Simple/uppercase,PCRE2,32768,8851.73,10000
Simple/uppercase,Hyperscan,32768,17589.0,10000
Simple/vowels,CTRE,16,23.26,10000
Simple/vowels,RE2,16,74.99,10000
Simple/vowels,PCRE2,16,26.83,10000
Simple/vowels,Hyperscan,16,54.94,10000
Simple/vowels,std::regex,16,272.77,2000
Simple/vowels,CTRE,32,51.86,10000
Simple/vowels,RE2,32,92.43,10000
Simple/vowels,PCRE2,32,34.62,10000
Simple/vowels,Hyperscan,32,84.27,10000
Simple/vowels,std::regex,32,573.28,2000
Simple/vowels,CTRE,64,116.73,10000
Simple/vowels,RE2,64,139.0,10000
Simple/vowels,PCRE2,64,51.69,10000
Simple/vowels,Hyperscan,64,144.46,10000
Simple/vowels,std::regex,64,1212.47,2000
Simple/vowels,CTRE,128,253.42,10000
Simple/vowels,RE2,128,227.62,10000
