Pattern,Engine,Input_Size,Time_ns,Matches
Simple/lowercase,PCRE2,32768,8851.3,10000
Simple/lowercase,Hyperscan,32768,17567.93,10000
Simple/uppercase,CTRE-SIMD,16,7.69,10000
Simple/uppercase,RE2,16,73.73,10000
Simple/uppercase,PCRE2,16,22.49,10000
Simple/uppercase,Hyperscan,16,68.51,10000
Simple/uppercase,std::regex,16,346.9,2000
Simple/uppercase,CTRE-SIMD,32,2.94,10000
Simple/uppercase,RE2,32,94.8,10000
Simple/uppercase,PCRE2,32,28.24,10000
Simple/uppercase,Hyperscan,32,90.05,10000
Simple/uppercase,std::regex,32,695.51,2000
Simple/uppercase,CTRE-SIMD,64,2.4,10000
Simple/uppercase,RE2,64,140.85,10000
Simple/uppercase,PCRE2,64,35.97,10000
Simple/uppercase,Hyperscan,64,74.58,10000
Simple/uppercase,std::regex,64,1303.87,2000
Simple/uppercase,CTRE-SIMD,128,3.23,10000
Simple/uppercase,RE2,128,232.68,10000
Simple/uppercase,PCRE2,128,53.0,10000
Simple/uppercase,Hyperscan,128,106.51,10000
Simple/uppercase,std::regex,128,2550.32,2000
Simple/uppercase,CTRE-SIMD,256,5.8,10000
Simple/uppercase,RE2,256,409.89,10000
Simple/uppercase,PCRE2,256,86.57,10000
Simple/uppercase,Hyperscan,256,176.78,10000
Simple/uppercase,std::regex,256,4448.88,2000
Simple/uppercase,CTRE-SIMD,512,10.16,10000
Simple/uppercase,RE2,512,777.39,10000
Simple/uppercase,PCRE2,512,162.7,10000
Simple/uppercase,Hyperscan,512,311.52,10000
Simple/uppercase,std::regex,512,8707.9,2000
Simple/uppercase,CTRE-SIMD,1024,21.5,10000
Simple/uppercase,RE2,1024,1488.86,10000
Simple/uppercase,PCRE2,1024,301.12,10000
Simple/uppercase,Hyperscan,1024,587.97,10000
Simple/uppercase,std::regex,1024,18185.1,2000
Simple/uppercase,CTRE-SIMD,2048,40.83,10000
Simple/uppercase,RE2,2048,2944.2,10000
Simple/uppercase,PCRE2,2048,576.78,10000
Simple/uppercase,Hyperscan,2048,1137.84,10000
Simple/uppercase,std::regex,2048,36546.83,2000
Simple/uppercase,CTRE-SIMD,4096,78.42,10000
Simple/uppercase,RE2,4096,5878.28,10000
Simple/uppercase,PCRE2,4096,1126.34,10000
Simple/uppercase,Hyperscan,4096,2230.95,10000
Simple/uppercase,std::regex,4096,90711.83,2000
Simple/uppercase,CTRE-SIMD,8192,156.24,10000
Simple/uppercase,RE2,8192,11661.06,10000
Simple/uppercase,PCRE2,8192,2226.02,10000
Simple/uppercase,Hyperscan,8192,4419.91,10000
Simple/uppercase,std::regex,8192,225584.43,2000
Simple/uppercase,CTRE-SIMD,16384,312.81,10000
Simple/uppercase,RE2,16384,23162.65,10000
Simple/uppercase,PCRE2,16384,4436.23,10000
Simple/uppercase,Hyperscan,16384,8796.63,10000
Simple/uppercase,CTRE-SIMD,32768,757.96,10000
Simple/uppercase,RE2,32768,46417.46,10000
Simple/uppercase,PCRE2,32768,8842.96,10000
Simple/uppercase,Hyperscan,32768,17577.14,10000
Simple/vowels,CTRE-SIMD,16,7.14,10000
Simple/vowels,RE2,16,74.92,10000
Simple/vowels,PCRE2,16,26.15,10000
Simple/vowels,Hyperscan,16,54.45,10000
Simple/vowels,std::regex,16,335.44,2000
Simple/vowels,CTRE-SIMD,32,3.19,10000
Simple/vowels,RE2,32,94.19,10000
Simple/vowels,PCRE2,32,34.57,10000
Simple/vowels,Hyperscan,32,84.05,10000
Simple/vowels,std::regex,32,699.93,2000
Simple/vowels,CTRE-SIMD,64,3.71,10000
Simple/vowels,RE2,64,144.76,10000
Simple/vowels,PCRE2,64,51.6,10000
Simple/vowels,Hyperscan,64,143.03,10000
Simple/vowels,std::regex,64,1287.87,2000
Simple/vowels,CTRE-SIMD,128,5.31,10000
Simple/vowels,RE2,128,229.53,10000
Simple/vowels,PCRE2,128,86.13,10000
Simple/vowels,Hyperscan,128,386.1,10000
Simple/vowels,std::regex,128,2721.52,2000
Simple/vowels,CTRE-SIMD,256,9.22,10000
Simple/vowels,RE2,256,410.3,10000
Simple/vowels,PCRE2,256,154.27,10000
Simple/vowels,Hyperscan,256,667.28,10000
Simple/vowels,std::regex,256,4573.1,2000
Simple/vowels,CTRE-SIMD,512,18.2,10000
Simple/vowels,RE2,512,763.12,10000
Simple/vowels,PCRE2,512,298.01,10000
Simple/vowels,Hyperscan,512,1207.28,10000
Simple/vowels,std::regex,512,8553.62,2000
Simple/vowels,CTRE-SIMD,1024,33.79,10000
Simple/vowels,RE2,1024,1485.98,10000
Simple/vowels,PCRE2,1024,575.38,10000
Simple/vowels,Hyperscan,1024,2306.28,10000
Simple/vowels,std::regex,1024,19308.26,2000
Simple/vowels,CTRE-SIMD,2048,67.49,10000
Simple/vowels,RE2,2048,2915.82,10000
Simple/vowels,PCRE2,2048,1126.62,10000
Simple/vowels,Hyperscan,2048,4505.09,10000
Simple/vowels,std::regex,2048,39445.92,2000
Simple/vowels,CTRE-SIMD,4096,131.52,10000
Simple/vowels,RE2,4096,5856.6,10000
Simple/vowels,PCRE2,4096,2234.43,10000
Simple/vowels,Hyperscan,4096,8899.64,10000
Simple/vowels,std::regex,4096,97958.77,2000
Simple/vowels,CTRE-SIMD,8192,267.73,10000
Simple/vowels,RE2,8192,11540.62,10000
Simple/vowels,PCRE2,8192,4435.61,10000
Simple/vowels,Hyperscan,8192,17679.78,10000
Simple/vowels,std::regex,8192,233394.88,2000
