a*_16,5.13557
a*_32,9.98765
a*_64,22.7545
a*_128,36.1486
A*_32,18.5882
b*_32,11.8331
z*_32,10.6763
9*_32,11.2338
a+_16,6.81497
a+_32,11.4722
a+_64,20.2532
a+_128,37.7698
A+_32,11.5372
b+_32,11.821
z+_32,12.0867
9+_32,12.2887
[a-z]*_16,6.26527
[a-z]*_32,10.675
[a-z]*_64,23.83
[a-z]*_128,37.2287
[A-Z]*_32,19.2004
[a-z]+_16,11.2117
[a-z]+_32,20.0218
[a-z]+_64,37.4715
[a-z]+_128,77.5962
[A-Z]+_32,11.2836
[a-c]*_32,19.187
[0-2]*_32,19.4391
[x-z]*_32,11.3218
[a-e]*_32,11.4725
[0-9]*_32,10.7546
[a-c]+_32,12.1298
[0-2]+_32,12.0488
[x-z]+_32,11.7987
[a-e]+_32,12.7082
[0-9]+_32,20.553
