a*_16,5.49047
a*_32,10.1389
a*_64,18.9187
a*_128,36.7993
A*_32,10.3987
b*_32,10.663
z*_32,10.8645
9*_32,10.9421
a+_16,7.08266
a+_32,11.4853
a+_64,20.2569
a+_128,37.8235
A+_32,12.0988
b+_32,12.2794
z+_32,12.8382
9+_32,12.8687
[a-z]*_16,2.43268
[a-z]*_32,2.70309
[a-z]*_64,3.24347
[a-z]*_128,4.32517
[A-Z]*_32,3.51408
[a-z]+_16,4.59488
[a-z]+_32,5.19247
[a-z]+_64,5.67596
[a-z]+_128,6.82487
[A-Z]+_32,4.92048
[a-c]*_32,11.5043
[0-2]*_32,19.2308
[x-z]*_32,19.4831
[a-e]*_32,11.7502
[0-9]*_32,3.51378
[a-c]+_32,11.9653
[0-2]+_32,12.3073
[x-z]+_32,12.2978
[a-e]+_32,20.7957
[0-9]+_32,4.32478
