Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
RealWorld/email,CTRE-Scalar,16384,8897.54,7.56,8889.37,8907.20,8894.27,8888.15,8906.93,10000
RealWorld/email,CTRE-Scalar,2048,1102.87,0.30,1102.55,1103.33,1102.76,1102.50,1103.24,10000
RealWorld/email,CTRE-Scalar,256,134.99,0.80,133.94,135.95,135.30,134.00,135.98,10000
RealWorld/email,CTRE-Scalar,32,15.00,0.16,14.92,15.29,14.92,14.79,15.20,10000
RealWorld/email,CTRE-Scalar,32768,17891.01,23.32,17849.85,17907.78,17899.16,17862.05,17919.97,10000
RealWorld/email,CTRE-Scalar,4096,2180.34,1.84,2178.69,2183.43,2180.14,2178.06,2182.63,10000
RealWorld/email,CTRE-Scalar,512,274.12,0.48,273.52,274.53,274.41,273.52,274.71,10000
RealWorld/email,CTRE-Scalar,64,31.12,0.22,30.92,31.46,31.14,30.85,31.40,10000
RealWorld/email,CTRE-Scalar,8192,4388.18,3.22,4384.23,4390.81,4390.18,4384.19,4392.18,10000
RealWorld/email,Hyperscan,1024,585.84,0.85,585.14,586.79,585.27,584.79,586.90,10000
RealWorld/email,Hyperscan,128,107.67,0.69,106.91,108.61,107.50,106.82,108.52,10000
RealWorld/email,Hyperscan,16,52.64,0.15,52.40,52.79,52.70,52.45,52.83,10000
RealWorld/email,Hyperscan,16384,8800.37,3.48,8794.99,8803.29,8801.72,8796.06,8804.69,10000
RealWorld/email,Hyperscan,2048,1134.40,0.81,1133.47,1135.25,1134.80,1133.39,1135.41,10000
RealWorld/email,Hyperscan,256,175.92,0.64,175.25,176.98,175.80,175.12,176.71,10000
RealWorld/email,Hyperscan,32,83.72,0.43,83.18,84.18,83.69,83.20,84.25,10000
RealWorld/email,Hyperscan,32768,17568.24,5.69,17559.21,17574.64,17568.88,17561.18,17575.31,10000
RealWorld/email,Hyperscan,4096,2230.41,3.64,2227.33,2236.14,2229.80,2225.90,2234.93,10000
RealWorld/email,Hyperscan,512,313.09,2.45,310.88,317.20,312.29,310.05,316.13,10000
RealWorld/email,Hyperscan,64,74.16,0.38,73.73,74.74,74.06,73.69,74.64,10000
RealWorld/email,Hyperscan,8192,4422.11,6.55,4413.59,4429.05,4420.14,4413.98,4430.24,10000
RealWorld/email,PCRE2,1024,510.35,1.43,508.45,511.85,510.21,508.58,512.13,10000
RealWorld/email,PCRE2,128,77.46,4.46,72.34,81.53,79.50,71.92,83.00,10000
RealWorld/email,PCRE2,16,24.03,0.24,23.88,24.45,23.93,23.74,24.33,10000
RealWorld/email,PCRE2,16384,7711.22,5.90,7707.24,7721.54,7709.25,7703.89,7718.55,10000
RealWorld/email,PCRE2,2048,1001.78,0.76,1000.93,1002.57,1001.74,1000.84,1002.73,10000
RealWorld/email,PCRE2,256,133.96,0.72,133.31,134.94,133.53,133.06,134.86,10000
RealWorld/email,PCRE2,32,31.76,0.40,31.34,32.19,31.72,31.26,32.26,10000
RealWorld/email,PCRE2,32768,15546.43,29.53,15514.78,15589.80,15548.38,15509.76,15583.09,10000
RealWorld/email,PCRE2,4096,1961.37,3.00,1957.98,1964.80,1962.64,1957.65,1965.10,10000
RealWorld/email,PCRE2,512,253.49,1.63,252.44,256.39,252.82,251.46,255.52,10000
RealWorld/email,PCRE2,64,47.22,2.37,43.84,49.31,48.30,44.28,50.16,10000
RealWorld/email,PCRE2,8192,3878.09,6.19,3872.34,3888.57,3876.30,3870.40,3885.78,10000
RealWorld/email,RE2,1024,1526.15,17.64,1511.98,1547.60,1514.65,1504.25,1548.06,10000
RealWorld/email,RE2,128,230.55,4.81,226.87,238.87,228.87,224.58,236.52,10000
RealWorld/email,RE2,16,74.68,0.36,74.06,74.97,74.83,74.22,75.13,10000
RealWorld/email,RE2,16384,23389.73,54.50,23329.35,23455.89,23376.61,23322.06,23457.39,10000
RealWorld/email,RE2,2048,2995.53,42.97,2966.83,3068.28,2973.21,2942.17,3048.89,10000
RealWorld/email,RE2,256,416.52,4.59,409.16,421.52,417.70,410.82,422.22,10000
RealWorld/email,RE2,32,95.91,1.94,93.62,98.95,95.53,93.50,98.32,10000
RealWorld/email,RE2,32768,46713.91,127.13,46529.29,46843.99,46741.38,46556.06,46871.77,10000
RealWorld/email,RE2,4096,5855.81,26.41,5834.87,5901.62,5848.02,5823.01,5888.60,10000
RealWorld/email,RE2,512,792.87,6.32,785.49,800.71,793.15,785.02,800.72,10000
RealWorld/email,RE2,64,139.64,1.41,138.39,142.02,139.44,137.89,141.39,10000
RealWorld/email,RE2,8192,11653.87,20.11,11628.50,11676.12,11662.16,11628.90,11678.84,10000
RealWorld/email,std::regex,1024,23617.14,327.05,23136.29,24020.40,23639.85,23211.05,24023.23,2000
RealWorld/email,std::regex,128,2781.96,25.11,2760.16,2812.45,2769.09,2750.78,2813.14,2000
RealWorld/email,std::regex,16,242.69,1.95,239.95,245.02,242.68,240.27,245.11,2000
RealWorld/email,std::regex,2048,49242.68,1520.91,47973.00,51570.36,48790.88,47354.23,51131.14,2000
RealWorld/email,std::regex,256,5762.46,136.95,5659.61,5999.11,5734.99,5592.42,5932.51,2000
RealWorld/email,std::regex,32,669.44,15.45,648.64,688.76,668.54,650.26,688.63,2000
RealWorld/email,std::regex,4096,108176.56,2102.47,105621.04,111125.43,107659.16,105566.00,110787.12,2000
RealWorld/email,std::regex,512,11508.76,120.27,11397.85,11702.50,11484.18,11359.42,11658.09,2000
RealWorld/email,std::regex,64,1336.72,15.55,1322.12,1357.09,1331.20,1317.41,1356.02,2000
RealWorld/email,std::regex,8192,234107.96,6894.64,223766.81,241180.75,233723.64,225547.14,242668.79,2000
RealWorld/ipv4,CTRE-Scalar,1024,618.87,1.63,616.90,621.03,618.41,616.84,620.89,10000
RealWorld/ipv4,CTRE-Scalar,128,78.02,0.54,77.28,78.56,78.04,77.35,78.69,10000
RealWorld/ipv4,CTRE-Scalar,16,11.07,0.47,10.85,11.92,10.85,10.48,11.66,10000
RealWorld/ipv4,CTRE-Scalar,16384,9901.52,12.88,9891.39,9923.70,9898.20,9885.53,9917.51,10000
RealWorld/ipv4,CTRE-Scalar,2048,1254.12,1.93,1252.63,1257.32,1253.39,1251.72,1256.51,10000
RealWorld/ipv4,CTRE-Scalar,256,154.73,0.33,154.37,155.09,154.86,154.33,155.14,10000
RealWorld/ipv4,CTRE-Scalar,32,20.89,0.34,20.33,21.14,21.07,20.47,21.31,10000
RealWorld/ipv4,CTRE-Scalar,32768,19797.76,24.12,19767.09,19834.57,19796.89,19767.81,19827.71,10000
RealWorld/ipv4,CTRE-Scalar,4096,2498.94,13.49,2490.33,2522.45,2493.84,2482.19,2515.69,10000
RealWorld/ipv4,CTRE-Scalar,512,310.29,0.25,309.93,310.57,310.26,309.98,310.60,10000
RealWorld/ipv4,CTRE-Scalar,64,39.74,0.27,39.31,40.05,39.78,39.41,40.07,10000
RealWorld/ipv4,CTRE-Scalar,8192,4970.95,20.89,4958.80,5007.95,4961.82,4945.02,4996.89,10000
RealWorld/ipv4,Hyperscan,1024,586.57,1.25,584.99,588.35,586.78,585.02,588.12,10000
RealWorld/ipv4,Hyperscan,128,106.74,0.76,106.01,107.87,106.86,105.80,107.68,10000
RealWorld/ipv4,Hyperscan,16,53.58,0.66,52.73,54.26,53.70,52.76,54.40,10000
