Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
RealWorld/email,CTRE-SIMD,2048,72.19,1.58,71.39,75.02,71.51,70.22,74.16,10000
RealWorld/email,CTRE-SIMD,256,35.67,0.13,35.57,35.90,35.63,35.51,35.84,10000
RealWorld/email,CTRE-SIMD,32,16.41,0.35,16.20,17.03,16.25,15.97,16.85,10000
RealWorld/email,CTRE-SIMD,32768,838.40,6.71,833.50,850.09,836.71,830.08,846.73,10000
RealWorld/email,CTRE-SIMD,4096,118.98,0.66,117.91,119.42,119.39,118.16,119.79,10000
RealWorld/email,CTRE-SIMD,512,38.05,0.45,37.49,38.52,37.98,37.49,38.61,10000
RealWorld/email,CTRE-SIMD,64,28.05,0.60,27.69,29.11,27.88,27.31,28.80,10000
RealWorld/email,CTRE-SIMD,8192,204.98,0.65,204.05,205.89,205.01,204.17,205.79,10000
RealWorld/email,Hyperscan,1024,586.73,0.95,585.48,587.81,587.08,585.55,587.91,10000
RealWorld/email,Hyperscan,128,107.64,1.41,106.22,109.91,107.37,105.89,109.40,10000
RealWorld/email,Hyperscan,16,53.07,0.78,52.49,54.39,52.73,52.10,54.05,10000
RealWorld/email,Hyperscan,16384,8803.53,6.90,8794.11,8811.34,8804.54,8794.96,8812.10,10000
RealWorld/email,Hyperscan,2048,1134.92,1.26,1132.95,1136.40,1135.01,1133.36,1136.48,10000
RealWorld/email,Hyperscan,256,176.11,1.19,174.88,177.42,176.09,174.63,177.58,10000
RealWorld/email,Hyperscan,32,83.76,0.38,83.30,84.16,83.90,83.28,84.24,10000
RealWorld/email,Hyperscan,32768,17566.87,8.13,17555.67,17578.57,17566.75,17556.77,17576.97,10000
RealWorld/email,Hyperscan,4096,2230.81,1.12,2229.32,2231.93,2230.72,2229.42,2232.19,10000
RealWorld/email,Hyperscan,512,313.24,0.52,312.78,313.92,313.06,312.60,313.88,10000
RealWorld/email,Hyperscan,64,74.37,0.78,73.52,75.35,74.36,73.39,75.34,10000
RealWorld/email,Hyperscan,8192,4420.07,1.69,4417.35,4421.97,4420.53,4417.97,4422.17,10000
RealWorld/email,PCRE2,1024,509.61,1.48,507.88,511.06,509.70,507.78,511.44,10000
RealWorld/email,PCRE2,128,74.32,0.94,73.24,75.50,74.39,73.15,75.49,10000
RealWorld/email,PCRE2,16,24.24,0.27,23.95,24.58,24.33,23.90,24.58,10000
RealWorld/email,PCRE2,16384,7712.25,4.22,7705.04,7716.01,7713.13,7707.01,7717.49,10000
RealWorld/email,PCRE2,2048,1000.45,1.38,999.23,1002.82,1000.03,998.74,1002.17,10000
RealWorld/email,PCRE2,256,134.46,0.56,133.85,135.36,134.28,133.76,135.16,10000
RealWorld/email,PCRE2,32,31.25,0.72,30.05,31.97,31.48,30.35,32.15,10000
RealWorld/email,PCRE2,32768,15552.25,33.42,15514.81,15599.18,15537.40,15510.76,15593.74,10000
RealWorld/email,PCRE2,4096,1958.91,1.40,1957.04,1960.97,1958.86,1957.18,1960.65,10000
RealWorld/email,PCRE2,512,251.62,0.44,251.21,252.24,251.59,251.07,252.16,10000
RealWorld/email,PCRE2,64,48.02,2.09,44.60,49.53,49.03,45.42,50.62,10000
RealWorld/email,PCRE2,8192,3894.34,38.03,3873.50,3962.14,3878.27,3847.12,3941.55,10000
RealWorld/email,RE2,1024,1539.99,16.35,1517.80,1559.83,1539.00,1519.69,1560.30,10000
RealWorld/email,RE2,128,228.62,1.42,227.15,230.11,228.42,226.86,230.37,10000
RealWorld/email,RE2,16,75.20,0.95,74.29,76.53,75.05,74.02,76.38,10000
RealWorld/email,RE2,16384,23363.87,42.00,23311.02,23414.91,23351.17,23311.73,23416.02,10000
RealWorld/email,RE2,2048,2987.49,53.11,2944.22,3076.73,2974.51,2921.55,3053.43,10000
RealWorld/email,RE2,256,416.59,6.74,406.85,423.96,416.20,408.22,424.96,10000
RealWorld/email,RE2,32,94.99,1.50,92.72,96.79,95.31,93.12,96.85,10000
RealWorld/email,RE2,32768,46705.10,135.05,46519.35,46858.86,46760.69,46537.42,46872.79,10000
RealWorld/email,RE2,4096,5863.74,32.81,5821.12,5912.02,5858.94,5823.00,5904.47,10000
RealWorld/email,RE2,512,795.66,12.42,776.20,808.20,797.44,780.24,811.09,10000
RealWorld/email,RE2,64,139.79,1.56,138.61,142.17,138.97,137.86,141.72,10000
RealWorld/email,RE2,8192,11672.82,53.16,11615.89,11740.90,11658.60,11606.81,11738.82,10000
RealWorld/email,std::regex,1024,23930.09,462.13,23486.30,24552.66,23924.28,23356.28,24503.89,2000
RealWorld/email,std::regex,128,2835.73,19.18,2814.23,2865.89,2830.58,2811.91,2859.54,2000
RealWorld/email,std::regex,16,248.37,2.36,245.93,250.88,248.51,245.44,251.30,2000
RealWorld/email,std::regex,2048,49378.57,727.88,48785.14,50638.28,49085.80,48474.79,50282.35,2000
RealWorld/email,std::regex,256,5821.17,76.11,5751.95,5935.35,5778.99,5726.67,5915.67,2000
RealWorld/email,std::regex,32,683.41,19.98,649.22,700.92,686.87,658.60,708.22,2000
RealWorld/email,std::regex,4096,107042.84,4050.56,102624.21,112738.85,106023.56,102013.40,112072.27,2000
RealWorld/email,std::regex,512,11718.04,115.49,11582.13,11863.02,11682.91,11574.63,11861.44,2000
RealWorld/email,std::regex,64,1320.81,3.02,1316.60,1325.08,1320.85,1317.06,1324.56,2000
RealWorld/email,std::regex,8192,244441.78,14576.16,232252.26,261020.21,235208.90,226343.08,262540.48,2000
RealWorld/ipv4,CTRE-SIMD,1024,53.57,0.64,52.91,54.40,53.64,52.78,54.36,10000
RealWorld/ipv4,CTRE-SIMD,128,25.62,0.58,25.00,26.23,25.79,24.90,26.34,10000
RealWorld/ipv4,CTRE-SIMD,16,12.94,0.71,12.49,14.13,12.52,12.06,13.82,10000
RealWorld/ipv4,CTRE-SIMD,16384,343.25,1.69,341.68,345.19,342.28,341.16,345.35,10000
RealWorld/ipv4,CTRE-SIMD,2048,74.06,0.48,73.59,74.65,73.87,73.47,74.65,10000
RealWorld/ipv4,CTRE-SIMD,256,27.14,0.38,26.84,27.69,26.92,26.67,27.61,10000
RealWorld/ipv4,CTRE-SIMD,32,18.35,0.55,17.76,19.01,18.59,17.67,19.04,10000
RealWorld/ipv4,CTRE-SIMD,32768,777.39,2.89,774.80,780.88,775.58,773.80,780.97,10000
RealWorld/ipv4,CTRE-SIMD,4096,112.15,0.36,111.75,112.72,112.11,111.71,112.59,10000
RealWorld/ipv4,CTRE-SIMD,512,36.06,0.65,35.45,36.84,35.77,35.25,36.87,10000
