Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Complex/decimal,CTRE-Scalar,1024,697.46,1.37,695.76,698.84,698.00,695.76,699.16,10000
Complex/decimal,CTRE-Scalar,128,74.15,0.44,73.47,74.69,74.19,73.61,74.69,10000
Complex/decimal,CTRE-Scalar,16,9.27,0.03,9.26,9.33,9.26,9.24,9.31,10000
Complex/decimal,CTRE-Scalar,16384,11283.58,14.62,11268.61,11306.65,11280.56,11265.43,11301.73,10000
Complex/decimal,CTRE-Scalar,2048,1426.40,6.51,1422.34,1437.85,1423.86,1418.32,1434.48,10000
Complex/decimal,CTRE-Scalar,256,161.55,0.55,160.70,162.10,161.54,160.88,162.23,10000
Complex/decimal,CTRE-Scalar,32,17.70,0.02,17.69,17.74,17.69,17.68,17.73,10000
Complex/decimal,CTRE-Scalar,32768,22564.94,25.76,22535.86,22606.09,22562.77,22532.95,22596.93,10000
Complex/decimal,CTRE-Scalar,4096,2833.36,2.42,2830.47,2835.70,2833.81,2830.36,2836.37,10000
Complex/decimal,CTRE-Scalar,512,340.26,3.55,337.90,346.54,338.85,335.85,344.67,10000
Complex/decimal,CTRE-Scalar,64,35.55,0.83,35.04,37.01,35.33,34.52,36.58,10000
Complex/decimal,CTRE-Scalar,8192,5645.48,4.75,5640.09,5652.95,5644.71,5639.58,5651.38,10000
Complex/decimal,Hyperscan,1024,591.60,1.42,589.90,593.71,591.36,589.84,593.37,10000
Complex/decimal,Hyperscan,128,106.91,0.51,106.27,107.38,107.13,106.29,107.54,10000
Complex/decimal,Hyperscan,16,53.60,0.67,52.78,54.44,53.71,52.77,54.44,10000
Complex/decimal,Hyperscan,16384,8830.46,5.07,8823.70,8836.87,8831.16,8824.16,8836.76,10000
Complex/decimal,Hyperscan,2048,1144.53,1.38,1142.41,1146.20,1144.77,1142.82,1146.24,10000
Complex/decimal,Hyperscan,256,176.28,1.79,174.49,179.13,175.72,174.05,178.51,10000
