Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
Complex/hex,CTRE,256,888.46,2.46,885.58,891.11,889.35,885.40,891.52,10000
Complex/hex,CTRE,32,65.09,1.94,63.96,68.54,64.40,62.68,67.50,10000
Complex/hex,CTRE,32768,113058.17,76.93,112959.24,113139.16,113086.29,112962.65,113153.70,10000
Complex/hex,CTRE,4096,14241.76,40.94,14182.93,14294.90,14249.62,14190.92,14292.60,10000
Complex/hex,CTRE,512,1786.14,3.45,1783.90,1791.77,1783.93,1781.86,1790.43,10000
Complex/hex,CTRE,64,199.39,1.87,197.64,202.45,199.19,197.07,201.72,10000
Complex/hex,CTRE,8192,28355.20,156.52,28254.87,28630.03,28282.11,28160.85,28549.55,10000
Complex/hex,Hyperscan,1024,586.21,1.00,584.86,587.64,586.27,584.97,587.46,10000
Complex/hex,Hyperscan,128,107.19,0.74,106.05,108.06,107.40,106.26,108.11,10000
Complex/hex,Hyperscan,16,52.95,0.47,52.55,53.56,52.77,52.37,53.54,10000
Complex/hex,Hyperscan,16384,8803.22,5.37,8798.19,8811.52,8801.57,8796.55,8809.90,10000
Complex/hex,Hyperscan,2048,1135.43,2.45,1133.62,1139.67,1134.36,1132.40,1138.47,10000
Complex/hex,Hyperscan,256,175.14,0.75,174.31,176.32,175.15,174.21,176.07,10000
Complex/hex,Hyperscan,32,83.67,0.39,83.19,84.23,83.61,83.18,84.16,10000
Complex/hex,Hyperscan,32768,17571.20,6.76,17567.34,17583.21,17568.26,17562.81,17579.59,10000
Complex/hex,Hyperscan,4096,2229.16,1.17,2228.01,2230.64,2229.14,2227.70,2230.61,10000
Complex/hex,Hyperscan,512,312.14,0.61,311.52,312.96,312.21,311.38,312.90,10000
Complex/hex,Hyperscan,64,74.40,1.23,72.72,76.03,74.35,72.87,75.93,10000
Complex/hex,Hyperscan,8192,4420.08,2.08,4417.51,4422.01,4421.29,4417.50,4422.66,10000
Complex/hex,PCRE2,1024,574.87,1.62,572.94,576.68,574.24,572.85,576.88,10000
Complex/hex,PCRE2,128,86.49,0.36,86.01,87.02,86.46,86.04,86.94,10000
Complex/hex,PCRE2,16,26.29,0.28,25.91,26.61,26.40,25.94,26.64,10000
Complex/hex,PCRE2,16384,8847.26,13.77,8833.05,8869.02,8847.88,8830.15,8864.36,10000
Complex/hex,PCRE2,2048,1126.97,0.87,1125.84,1128.03,1127.01,1125.89,1128.05,10000
Complex/hex,PCRE2,256,155.40,1.00,154.30,157.00,155.36,154.16,156.64,10000
Complex/hex,PCRE2,32,35.73,0.39,35.27,36.34,35.71,35.24,36.21,10000
Complex/hex,PCRE2,32768,17652.94,13.51,17637.61,17668.11,17648.18,17636.16,17669.72,10000
Complex/hex,PCRE2,4096,2231.29,3.77,2226.54,2236.17,2230.98,2226.61,2235.97,10000
Complex/hex,PCRE2,512,298.22,0.93,296.87,299.42,298.19,297.06,299.37,10000
Complex/hex,PCRE2,64,52.32,0.48,51.74,52.84,52.42,51.73,52.92,10000
Complex/hex,PCRE2,8192,4431.26,0.99,4430.12,4432.64,4431.48,4430.03,4432.50,10000
Complex/hex,RE2,1024,1504.91,31.53,1483.54,1559.85,1494.29,1465.75,1544.06,10000
Complex/hex,RE2,128,229.84,1.39,228.62,231.94,229.12,228.12,231.56,10000
Complex/hex,RE2,16,74.44,0.45,74.04,75.09,74.25,73.88,75.00,10000
Complex/hex,RE2,16384,23197.35,146.86,23078.92,23383.22,23106.10,23015.00,23379.69,10000
Complex/hex,RE2,2048,2943.52,27.17,2921.73,2988.80,2929.65,2909.79,2977.26,10000
Complex/hex,RE2,256,409.53,3.86,406.09,415.78,409.38,404.74,414.32,10000
Complex/hex,RE2,32,94.13,0.26,93.76,94.44,94.15,93.81,94.44,10000
Complex/hex,RE2,32768,46350.31,192.57,46186.35,46649.98,46315.88,46111.20,46589.42,10000
Complex/hex,RE2,4096,5851.72,35.65,5817.07,5895.35,5846.90,5807.46,5895.99,10000
Complex/hex,RE2,512,773.40,5.69,767.62,782.36,773.55,766.34,780.47,10000
Complex/hex,RE2,64,137.98,0.55,137.49,138.91,137.82,137.30,138.66,10000
Complex/hex,RE2,8192,11630.83,28.65,11594.89,11668.05,11640.04,11595.25,11666.41,10000
Complex/hex,std::regex,1024,17029.79,2523.98,15189.93,21211.99,16000.20,13895.85,20163.73,2000
Complex/hex,std::regex,128,2527.71,20.41,2502.39,2555.57,2526.18,2502.36,2553.05,2000
Complex/hex,std::regex,16,302.63,35.72,246.14,334.47,304.66,258.28,346.98,2000
Complex/hex,std::regex,2048,39528.92,10890.86,29867.33,58121.39,36851.12,26006.12,53051.71,2000
Complex/hex,std::regex,256,4173.94,730.78,3597.81,5046.54,3697.58,3266.56,5081.33,2000
Complex/hex,std::regex,32,540.72,119.61,436.31,671.87,477.88,392.21,689.23,2000
Complex/hex,std::regex,4096,95030.05,5058.99,90723.22,103747.20,93232.98,88748.48,101311.61,2000
Complex/hex,std::regex,512,8460.23,1259.86,7476.12,10274.77,7630.05,6895.91,10024.56,2000
Complex/hex,std::regex,64,1139.26,35.35,1088.48,1175.02,1139.69,1095.37,1183.15,2000
Complex/hex,std::regex,8192,217911.57,8944.38,204227.83,227729.45,217837.08,206805.66,229017.48,2000
Complex/http_header,CTRE,1024,582.59,16.93,567.95,611.28,575.91,561.56,603.61,10000
Complex/http_header,CTRE,128,71.24,0.67,70.54,72.14,71.45,70.41,72.07,10000
Complex/http_header,CTRE,16,9.89,0.22,9.79,10.29,9.80,9.62,10.17,10000
Complex/http_header,CTRE,16384,9170.19,38.43,9148.04,9238.74,9154.61,9122.47,9217.91,10000
Complex/http_header,CTRE,2048,1140.17,3.87,1137.08,1146.02,1137.82,1135.37,1144.98,10000
Complex/http_header,CTRE,256,143.16,1.10,141.35,144.33,143.33,141.80,144.53,10000
Complex/http_header,CTRE,32,19.17,0.20,19.03,19.53,19.11,18.92,19.42,10000
Complex/http_header,CTRE,32768,18336.76,16.30,18325.48,18365.01,18328.64,18316.52,18357.00,10000
Complex/http_header,CTRE,4096,2284.72,3.04,2280.20,2288.14,2284.62,2280.95,2288.50,10000
Complex/http_header,CTRE,512,290.55,1.69,288.95,293.39,290.02,288.46,292.64,10000
Complex/http_header,CTRE,64,36.05,0.65,35.54,37.15,35.91,35.24,36.86,10000
Complex/http_header,CTRE,8192,4567.76,5.21,4560.66,4573.67,4569.94,4561.29,4574.22,10000
Complex/http_header,Hyperscan,1024,1848.16,3.35,1844.52,1852.39,1849.23,1844.00,1852.32,10000
Complex/http_header,Hyperscan,128,343.19,14.75,335.65,369.54,336.88,324.88,361.50,10000
Complex/http_header,Hyperscan,16,53.25,0.54,52.36,53.68,53.46,52.58,53.92,10000
Complex/http_header,Hyperscan,16384,27024.38,18.57,26998.74,27048.83,27023.72,27001.32,27047.45,10000
Complex/http_header,Hyperscan,2048,3521.97,4.96,3516.38,3527.18,3521.61,3515.82,3528.13,10000
Complex/http_header,Hyperscan,256,584.39,2.94,579.85,588.04,584.90,580.74,588.05,10000
Complex/http_header,Hyperscan,32,84.06,0.38,83.75,84.69,83.94,83.59,84.54,10000
Complex/http_header,Hyperscan,32768,54168.53,76.47,54105.06,54278.94,54131.65,54073.58,54263.49,10000
Complex/http_header,Hyperscan,4096,6870.97,24.78,6849.70,6909.43,6858.86,6840.19,6901.74,10000
Complex/http_header,Hyperscan,512,1016.05,6.00,1009.65,1022.32,1017.31,1008.60,1023.50,10000
Complex/http_header,Hyperscan,64,143.41,1.07,142.40,145.12,143.29,142.08,144.74,10000
Complex/http_header,Hyperscan,8192,13571.06,27.00,13545.66,13615.93,13561.44,13537.53,13604.59,10000
Complex/http_header,PCRE2,1024,592.26,0.88,590.90,593.31,592.30,591.17,593.36,10000
Complex/http_header,PCRE2,128,89.35,0.74,88.17,90.10,89.46,88.43,90.27,10000
Complex/http_header,PCRE2,16,27.47,0.17,27.34,27.77,27.41,27.26,27.69,10000
Complex/http_header,PCRE2,16384,9019.58,2.02,9017.05,9022.48,9019.11,9017.08,9022.09,10000
Complex/http_header,PCRE2,2048,1153.31,0.70,1152.57,1154.45,1153.15,1152.44,1154.18,10000
Complex/http_header,PCRE2,256,159.91,2.62,158.57,164.60,158.83,156.66,163.17,10000
Complex/http_header,PCRE2,32,36.47,0.37,36.11,36.97,36.40,36.01,36.93,10000
