Pattern,Engine,Input_Size,Time_ns,Matches
arm_nomatch/nomatch_alpha,CTRE-SIMD,8,1.99,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,16,1.78792,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,32,3.97166,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,64,3.15,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,128,2.95583,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,256,3.91083,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,512,2.92541,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,1024,4.14416,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,2048,2.90417,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,4096,3.28167,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,8192,1.93959,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,16384,3.51,0
arm_nomatch/nomatch_alpha,CTRE-SIMD,32768,3.165,0
arm_nomatch/region_reject,CTRE-SIMD,4,50.4358,0
arm_nomatch/region_reject,CTRE-SIMD,8,83.9533,0
arm_nomatch/region_reject,CTRE-SIMD,16,140.773,0
arm_nomatch/region_reject,CTRE-SIMD,32,26.9887,0
arm_nomatch/region_reject,CTRE-SIMD,64,42.3892,0
arm_nomatch/region_reject,CTRE-SIMD,128,82.535,0
arm_nomatch/region_reject,CTRE-SIMD,256,147.534,0
arm_nomatch/region_reject,CTRE-SIMD,512,226.5,0
arm_nomatch/region_reject,CTRE-SIMD,1024,354.451,0
arm_nomatch/region_reject,CTRE-SIMD,2048,567.408,0
arm_nomatch/region_reject,CTRE-SIMD,4096,984.81,0
arm_nomatch/region_reject,CTRE-SIMD,8192,1972.33,0
arm_nomatch/region_reject,CTRE-SIMD,16384,3969.74,0
arm_nomatch/region_reject,CTRE-SIMD,32768,7938.31,0
arm_nomatch/dom_reject,CTRE-SIMD,4,26.8467,0
arm_nomatch/dom_reject,CTRE-SIMD,8,49.97,0
arm_nomatch/dom_reject,CTRE-SIMD,16,91.0121,0
arm_nomatch/dom_reject,CTRE-SIMD,32,27.69,0
arm_nomatch/dom_reject,CTRE-SIMD,64,50.0979,0
arm_nomatch/dom_reject,CTRE-SIMD,128,89.6179,0
arm_nomatch/dom_reject,CTRE-SIMD,256,144.434,0
arm_nomatch/dom_reject,CTRE-SIMD,512,221.705,0
arm_nomatch/dom_reject,CTRE-SIMD,1024,353.265,0
arm_nomatch/dom_reject,CTRE-SIMD,2048,573.071,0
arm_nomatch/dom_reject,CTRE-SIMD,4096,1051.54,0
arm_nomatch/dom_reject,CTRE-SIMD,8192,2137.89,0
arm_nomatch/dom_reject,CTRE-SIMD,16384,4342.03,0
arm_nomatch/dom_reject,CTRE-SIMD,32768,8719.46,0
